일자,주가(USD),PER(일별),매출(USD),영업이익(USD),영업이익률(%),순이익(USD),매출성장률YoY(%),순이익성장률YoY(%),EPS추정치,EPS실적,컨센서스,서프라이즈(%),자사주매입(USD),배당금지급(USD)
2024-10-16,135.68109130859375,42.69678549193862,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-17,136.8907470703125,43.07744584836016,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-18,137.96043395996094,43.414060119592556,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-21,143.66880798339844,45.21039901129654,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-22,143.54884338378906,45.172647967825796,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-23,139.51998901367188,43.90482848642207,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-24,140.3697509765625,44.1722357124314,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-25,141.49942016601562,44.52772550539917,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-28,140.479736328125,44.20684643760783,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-29,141.20950317382812,44.43649301672656,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-30,139.300048828125,43.835616639489075,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-10-31,132.72193908691406,41.76558508347722,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-01,135.36119079589844,42.5961176432533,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-04,136.01100158691406,42.800603262338115,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-05,139.86988830566406,44.014936496830046,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-06,145.56826782226562,45.80813026852978,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-07,148.8373260498047,46.836853405672265,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-08,147.58767700195312,46.44360776752384,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-11,145.21835327148438,45.69801745641188,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-12,148.24746704101562,46.65123370490296,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-13,146.22808837890625,46.01576580932877,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-14,146.71792602539062,46.16991030150602,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-15,141.9392852783203,44.66614439755522,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-18,140.10980224609375,44.09043378206159,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-19,146.9678497314453,46.24855750845174,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-20,145.84817504882812,45.896212835488214,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.64,0.68,상회,5.66,-10997000000.0,-245000000.0
2024-11-21,146.62796020507812,46.14159941975794,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.75,0.81,상회,8.52,-10997000000.0,-245000000.0
2024-11-22,141.90931701660156,44.65671383925243,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.75,0.81,상회,8.52,-10997000000.0,-245000000.0
2024-11-25,135.9810028076172,42.791163100615464,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.75,0.81,상회,8.52,-10997000000.0,-245000000.0
2024-11-26,136.88075256347656,43.07430072835592,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.75,0.81,상회,8.52,-10997000000.0,-245000000.0
2024-11-27,135.3011932373047,42.577237319808,35082000000.0,21869000000.0,62.33681090017673,19309000000.0,62.4935864545921,65.25972344502563,0.75,0.81,상회,8.52,-10997000000.0,-245000000.0
